"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"25","Counter-Strike: Global Offensive","Aug 21, 2012","$14.99","71% (88%/83%)","20,000,000 .. 50,000,000","15:29 (06:24)","Valve","Valve"
"5","Borderlands 2","Sep 17, 2012","$19.99","95% (96%/89%)","5,000,000 .. 10,000,000","05:50 (01:57)","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"23","PlanetSide 2","Nov 20, 2012","Free","55% (82%/84%)","5,000,000 .. 10,000,000","05:59 (01:38)","Daybreak Game Company","Daybreak Game Company"
"59","Chivalry: Medieval Warfare","Oct 16, 2012","$24.99","57% (83%/79%)","5,000,000 .. 10,000,000","02:27 (01:05)","Torn Banner Studios","Torn Banner Studios"
"63","Euro Truck Simulator 2","Oct 12, 2012","$19.99","95% (96%/79%)","5,000,000 .. 10,000,000","07:11 (03:03)","SCS Software","SCS Software"
"2","Batman: Arkham City - Game of the Year Edition","Sep 7, 2012","$19.99","90% (94%/91%)","2,000,000 .. 5,000,000","01:59 (01:45)","Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)"
"3","Dishonored","Oct 8, 2012","$9.99","95% (96%/91%)","2,000,000 .. 5,000,000","02:26 (00:54)","Arkane Studios","Bethesda Softworks"
"4","XCOM: Enemy Unknown","Oct 8, 2012","$29.99","90% (94%/89%)","2,000,000 .. 5,000,000","10:05 (07:45)","Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)","2K, Feral Interactive (Mac), Feral Interactive (Linux)"
"6","The Witcher 2: Assassins of Kings Enhanced Edition","Apr 16, 2012","$19.99","71% (88%/88%)","2,000,000 .. 5,000,000","04:46 (01:59)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
"9","Far Cry 3","Dec 4, 2012","$19.99","71% (88%/88%)","2,000,000 .. 5,000,000","04:01 (01:35)","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft"
"10","Torchlight II","Sep 20, 2012","$19.99","90% (94%/88%)","2,000,000 .. 5,000,000","04:17 (01:57)","Runic Games","Runic Games"
"14","Tribes: Ascend","Jun 27, 2012","Free","46% (78%/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Hi-Rez Studios","Hi-Rez Studios"
"16","The Lord of the Rings Online","Jun 6, 2012","Free","53% (81%/86%)","2,000,000 .. 5,000,000","08:07 (15:13)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"17","DARK SOULS: Prepare To Die Edition","Aug 24, 2012","N/A","74% (89%/85%)","2,000,000 .. 5,000,000","08:17 (01:01)","FromSoftware","BANDAI NAMCO Entertainment"
"18","STAR WARS Knights of the Old Republic II - The Sith Lords","Aug 23, 2012","$9.99","74% (89%/85%)","2,000,000 .. 5,000,000","04:11 (04:20)","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)"
"19","Hotline Miami","Oct 23, 2012","$9.99","97% (97%/85%)","2,000,000 .. 5,000,000","01:48 (00:21)","Dennaton Games","Devolver Digital"
"20","FTL: Faster Than Light","Sep 14, 2012","$9.99","95% (96%/84%)","2,000,000 .. 5,000,000","03:43 (01:12)","Subset Games","Subset Games"
"27","Alan Wake","Feb 16, 2012","$14.99","80% (91%/83%)","2,000,000 .. 5,000,000","02:31 (01:54)","Remedy Entertainment","Remedy Entertainment"
"28","Orcs Must Die! 2","Jul 30, 2012","$14.99","90% (94%/83%)","2,000,000 .. 5,000,000","01:56 (02:28)","Robot Entertainment","Robot Entertainment"
"29","Realm of the Mad God","Feb 20, 2012","Free","57% (83%/82%)","2,000,000 .. 5,000,000","03:32 (00:53)","Wild Shadow Studios, Deca Games","Deca Games"
"31","The Walking Dead","Apr 24, 2012","N/A","95% (96%/82%)","2,000,000 .. 5,000,000","16:29 (01:09)","Telltale Games","Telltale Games"
"33","Crusader Kings II","Feb 14, 2012","$39.99","77% (90%/82%)","2,000,000 .. 5,000,000","10:16 (03:56)","Paradox Development Studio","Paradox Interactive"
"37","Age of Empires III: Complete Collection","Jan 5, 2012","$39.99","71% (88%/81%)","2,000,000 .. 5,000,000","04:36 (01:41)","Ensemble Studios","Microsoft Studios"
"62","Hitman: Absolution","Nov 19, 2012","$19.99","77% (90%/79%)","2,000,000 .. 5,000,000","01:56 (01:14)","Io-Interactive A/S, Feral Interactive (Mac)","Io-Interactive A/S, Feral Interactive (Mac)"
"68","Awesomenauts - the 2D moba","Aug 1, 2012","Free","63% (85%/78%)","2,000,000 .. 5,000,000","01:32 (00:49)","Ronimo Games","Ronimo Games"
"94","Blacklight: Retribution","Jul 2, 2012","Free","39% (74%/75%)","2,000,000 .. 5,000,000","01:23 (00:35)","Hardsuit Labs, Inc.","Hardsuit Labs, Inc."
"100","Call of Duty: Black Ops II","Nov 12, 2012","$59.99","55% (82%/74%)","2,000,000 .. 5,000,000","02:14 (00:10)","Treyarch","Activision"
"128","Fallen Earth Free2Play","Feb 22, 2012","Free","14% (55%/71%)","2,000,000 .. 5,000,000","01:20 (00:53)","Little Orbit","Little Orbit"
"148","Sniper Elite V2","Apr 30, 2012","$19.99","68% (87%/66%)","2,000,000 .. 5,000,000","02:18 (01:07)","Rebellion","Rebellion"
"154","Guns of Icarus Online","Oct 29, 2012","$4.99","83% (92%/64%)","2,000,000 .. 5,000,000","10:00 (01:52)","Muse Games","Muse Games"
"258","Castle Crashers","Sep 26, 2012","$14.99","95% (96%)","2,000,000 .. 5,000,000","03:31 (01:24)","The Behemoth","The Behemoth"
"335","Gotham City Impostors Free to Play","Aug 30, 2012","Free","60% (84%)","2,000,000 .. 5,000,000","00:37 (00:39)","Monolith Productions, Inc.","Warner Bros. Interactive Entertainment"
"8","Super Hexagon","Nov 27, 2012","$2.99","97% (97%/88%)","1,000,000 .. 2,000,000","00:11 (00:09)","Terry Cavanagh","Terry Cavanagh"
"12","Max Payne 3","May 31, 2012","$19.99","55% (82%/87%)","1,000,000 .. 2,000,000","01:29 (01:48)","Rockstar Studios","Rockstar Games"
"34","Sins of a Solar Empire: Rebellion","Jun 12, 2012","$39.99","83% (92%/82%)","1,000,000 .. 2,000,000","05:56 (06:34)","Ironclad Games, Stardock Entertainment","Stardock Entertainment"
"40","To the Moon","Sep 7, 2012","$9.99","95% (96%/81%)","1,000,000 .. 2,000,000","01:40 (02:26)","Freebird Games","Freebird Games"
"46","Assassin’s Creed III","Nov 20, 2012","$19.99","39% (74%/80%)","1,000,000 .. 2,000,000","03:07 (00:39)","Ubisoft Montreal","Ubisoft"
"52","Natural Selection 2","Oct 30, 2012","$9.99","63% (85%/80%)","1,000,000 .. 2,000,000","02:19 (00:35)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"75","The Darkness II","Feb 6, 2012","$29.99","74% (89%/77%)","1,000,000 .. 2,000,000","01:13 (01:18)","Digital Extremes","2K"
