"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1","Grand Theft Auto V","Apr 13, 2015","$29.99","31% (69%/96%)","5,000,000 .. 10,000,000","08:25 (02:08)","Rockstar North","Rockstar Games"
"3","The Witcher 3: Wild Hunt","May 18, 2015","$39.99","97% (97%/93%)","5,000,000 .. 10,000,000","08:11 (01:24)","CD PROJEKT RED","CD PROJEKT RED"
"19","Rocket League","Jul 7, 2015","$9.99","83% (92%/86%)","5,000,000 .. 10,000,000","08:42 (03:42)","Psyonix, Inc.","Psyonix, Inc."
"30","Fallout 4","Nov 9, 2015","$29.99","33% (70%/84%)","5,000,000 .. 10,000,000","07:13 (01:59)","Bethesda Game Studios","Bethesda Softworks"
"35","SMITE","Sep 8, 2015","Free","53% (81%/83%)","5,000,000 .. 10,000,000","12:53 (01:36)","Titan Forge Games","Hi-Rez Studios"
"110","Evolve Stage 2","Feb 10, 2015","N/A","23% (63%/77%)","5,000,000 .. 10,000,000","04:44 (01:53)","Turtle Rock Studios","2K"
"291","Dirty Bomb","Jun 2015","Free","49% (79%/63%)","5,000,000 .. 10,000,000","17:41 (01:18)","Splash Damage","Warchest Ltd."
"390","Clicker Heroes","May 13, 2015","Free","74% (89%)","5,000,000 .. 10,000,000","28:06 (02:05)","Playsaurus","Playsaurus"
"1146","Life is Strange - Episode 1","Jan 29, 2015","Free","95% (96%)","5,000,000 .. 10,000,000","02:20 (00:44)","DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)"
"1933","Trove","Jul 9, 2015","Free","45% (77%)","5,000,000 .. 10,000,000","06:53 (00:43)","Trion Worlds","Trion Worlds"
"2691","Tom Clancy's Rainbow Six Siege","Dec 1, 2015","$14.99","51% (80%)","5,000,000 .. 10,000,000","10:34 (04:19)","Ubisoft Montreal","Ubisoft"
"4","Undertale","Sep 15, 2015","$9.99","93% (95%/92%)","2,000,000 .. 5,000,000","02:53 (01:10)","tobyfox","tobyfox"
